object	predicate	subject	#object	#subject	freq
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic juvenile chronic arthritis	2	27	0.0740740740741
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hereditary Periodic Fever Syndromes	1	18	0.0555555555556
IL1B gene|IL1B	PREDISPOSES	Resorption of apex of tooth	3	71	0.0422535211268
Interleukin-1 beta|IL1B	AUGMENTS	Acute pulpitis	1	31	0.0322580645161
IL1B gene|IL1B	ASSOCIATED_WITH	Resorption of apex of tooth	2	71	0.0281690140845
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disorder of tendon	1	62	0.0161290322581
IL1B	CAUSES	Streptococcal arthritis	1	66	0.0151515151515
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Familial amyloid nephropathy with urticaria AND deafness	1	68	0.0147058823529
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Acute pelvic inflammatory disease NOS	1	87	0.0114942528736
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteodystrophy	1	159	0.0062893081761
IL1B gene|IL1B	ASSOCIATED_WITH	Chlamydia pneumoniae infection	1	160	0.00625
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Periodic syndrome	1	170	0.00588235294118
Interleukin-1 beta|IL1B	PREDISPOSES	early disease onset	1	171	0.00584795321637
IL1B	ASSOCIATED_WITH	Primary gout	1	184	0.0054347826087
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diffuse panbronchiolitis	1	195	0.00512820512821
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal infection	1	199	0.00502512562814
IL1B gene|IL1B	PREDISPOSES	Chagas Cardiomyopathy	1	200	0.005
IL1B gene|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	4	802	0.00498753117207
IL1B gene|IL1B	ASSOCIATED_WITH	Adult periodontitis	1	229	0.00436681222707
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Mixed cryoglobulinemia	1	237	0.0042194092827
IL1B gene|IL1B	ASSOCIATED_WITH	Systemic onset juvenile chronic arthritis	1	240	0.00416666666667
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tendinitis	1	288	0.00347222222222
Interleukin-1 beta|IL1B	AFFECTS	Oedema auricular	1	297	0.003367003367
IL1B	CAUSES	Arthritis, Gouty	1	299	0.00334448160535
IL1B	ASSOCIATED_WITH	Chronic colitis	1	309	0.00323624595469
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myositis, Inclusion Body	1	312	0.00320512820513
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Malaria, Vivax	1	321	0.00311526479751
IL1B gene|IL1B	ASSOCIATED_WITH	Prosthetic joint infection	1	322	0.00310559006211
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	AIDS Dementia Complex	1	330	0.0030303030303
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myelitis	1	331	0.00302114803625
Interleukin-1 beta|IL1B	AUGMENTS	Pouchitis	1	332	0.00301204819277
IL1B gene|IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1	359	0.00278551532033
IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1	359	0.00278551532033
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontitis	7	2616	0.00267584097859
IL1B	ASSOCIATED_WITH	Mastocytosis, Systemic	1	383	0.00261096605744
IL1B	AUGMENTS	Central retinal vein occlusion	1	424	0.00235849056604
IL1B gene|IL1B	CAUSES	Osteoarthritis, Hip	1	460	0.00217391304348
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Chronic prostatitis	1	461	0.00216919739696
Interleukin-1 beta|IL1B	PREDISPOSES	Chronic prostatitis	1	461	0.00216919739696
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningitis, Bacterial	2	969	0.00206398348813
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningococcal Infections	1	533	0.00187617260788
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Reactive	1	544	0.00183823529412
IL1B gene|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1	548	0.00182481751825
IL1B gene|IL1B	PREDISPOSES	Febrile Convulsions	1	548	0.00182481751825
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1	548	0.00182481751825
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	9	5144	0.00174961119751
Interleukin-1 beta|IL1B	AFFECTS	immunotoxicity	1	605	0.00165289256198
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Duodenal Ulcer	3	1827	0.00164203612479
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gout	2	1229	0.00162733930024
IL1B gene|IL1B	ASSOCIATED_WITH	Transient ischemia	1	616	0.00162337662338
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Local disease	1	626	0.00159744408946
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Optic Neuritis	1	636	0.00157232704403
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory disorder	8	5240	0.00152671755725
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontal Diseases	3	1992	0.00150602409639
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis	2	1366	0.00146412884334
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	thrombocytosis	1	684	0.00146198830409
Interleukin-1 beta|IL1B	PREDISPOSES	Keratoconus	1	747	0.00133868808568
Interleukin-1 beta|IL1B	PREDISPOSES	Peptic Esophagitis	1	747	0.00133868808568
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Keratoconus	1	747	0.00133868808568
IL1B gene|IL1B	ASSOCIATED_WITH	Typhoid Fever	1	757	0.00132100396301
IL1B gene|IL1B	ASSOCIATED_WITH	Alopecia Areata	1	758	0.00131926121372
IL1B gene|IL1B	ASSOCIATED_WITH	Gingivitis	1	766	0.00130548302872
IL1B gene|IL1B	ASSOCIATED_WITH	Hashimoto Disease	1	777	0.001287001287
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	1	802	0.00124688279302
Interleukin-1 beta|IL1B	PREDISPOSES	Gastritis, Atrophic	1	802	0.00124688279302
IL1B gene|IL1B	NEG_ASSOCIATED_WITH	Malaria, Cerebral	1	831	0.00120336943442
Interleukin-1 beta|IL1B	PREDISPOSES	Liver Cirrhosis, Alcoholic	1	849	0.00117785630153
IL1B	ASSOCIATED_WITH	Thyroid associated opthalmopathies	1	861	0.00116144018583
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Wegener's Granulomatosis	1	911	0.00109769484083
Interleukin-1 beta|IL1B	AFFECTS	destruction; bone	1	929	0.0010764262648
IL1B	AFFECTS	destruction; bone	1	929	0.0010764262648
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	destruction; bone	1	929	0.0010764262648
Interleukin-1 beta|IL1B	DISRUPTS	Hyperhomocysteinemia	1	1003	0.000997008973081
IL1B gene|IL1B	PREDISPOSES	Infection, H Pylori	1	1064	0.00093984962406
Interleukin-1 beta|IL1B	PREDISPOSES	Infection, H Pylori	1	1064	0.00093984962406
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Carpal Tunnel Syndrome	1	1100	0.000909090909091
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Insulin-Dependent	5	6025	0.000829875518672
IL1B	ASSOCIATED_WITH	Arthritis, Psoriatic	1	1244	0.0008038585209
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Psoriatic	1	1244	0.0008038585209
IL1B gene|IL1B	ASSOCIATED_WITH	Glomerulonephritis	2	2548	0.000784929356358
IL1B gene|IL1B	PREDISPOSES	Stroke, Acute	1	1277	0.000783085356304
IL1B	ASSOCIATED_WITH	Alcoholic Liver Diseases	1	1290	0.00077519379845
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Candidiasis	1	1312	0.000762195121951
Interleukin-1 beta|IL1B	CAUSES	Glucose Intolerance	1	1342	0.000745156482861
IL1B gene|IL1B	PREDISPOSES	Gastritis	1	1366	0.000732064421669
Interleukin-1 beta|IL1B	PREDISPOSES	Bacteremia	2	2739	0.000730193501278
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Rheumatoid Arthritis	7	9872	0.000709076175041
IL1B gene|IL1B	ASSOCIATED_WITH	IGA Glomerulonephritis	1	1415	0.000706713780919
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Scleroderma	1	1428	0.000700280112045
IL1B	CAUSES	Nephritis	1	1430	0.000699300699301
IL1B gene|IL1B	ASSOCIATED_WITH	Sarcoidosis	2	2943	0.00067957866123
IL1B	ASSOCIATED_WITH	Chronic Childhood Arthritis	1	1481	0.00067521944632
IL1B	CAUSES	Chronic Childhood Arthritis	1	1481	0.00067521944632
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory Bowel Diseases	3	5009	0.000598921940507
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hepatitis C, Chronic	1	1674	0.000597371565114
IL1B gene|IL1B	ASSOCIATED_WITH	Myasthenia Gravis	1	1728	0.000578703703704
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Colitis	2	3602	0.000555247084953
IL1B gene|IL1B	ASSOCIATED_WITH	Primary biliary cirrhosis	1	1842	0.000542888165038
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Aortic Aneurysm, Abdominal	1	1872	0.000534188034188
Interleukin-1 beta|IL1B	CAUSES	Arthritis	3	5923	0.000506500084417
Interleukin-1 beta|IL1B	CAUSES	Periodontal Diseases	1	1992	0.000502008032129
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Crohn's disease	2	4047	0.000494193229553
IL1B	ASSOCIATED_WITH	Graves' Disease	1	2057	0.000486144871172
IL1B	AUGMENTS	Airway Obstruction	1	2073	0.000482392667631
Interleukin-1 beta|IL1B	AUGMENTS	Spastic syndrome	1	2161	0.000462748727441
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Ulcerative Colitis	2	4355	0.000459242250287
IL1B gene|IL1B	PREDISPOSES	Gastric ulcer	1	2213	0.000451875282422
Interleukin-1 beta|IL1B	AUGMENTS	Uveitis	1	2214	0.000451671183379
Interleukin-1 beta|IL1B	PREDISPOSES	Tuberculosis, Pulmonary	1	2274	0.000439753737907
IL1B gene|IL1B	ASSOCIATED_WITH	Tuberculosis, Pulmonary	1	2274	0.000439753737907
IL1B gene|IL1B	ASSOCIATED_WITH	Gastroesophageal reflux disease	1	2283	0.000438020148927
IL1B gene|IL1B	ASSOCIATED_WITH	Peptic Ulcer	1	2332	0.000428816466552
IL1B gene|IL1B	ASSOCIATED_WITH	Polycystic Ovary Syndrome	1	2433	0.000411015207563
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Polycystic Ovary Syndrome	1	2433	0.000411015207563
IL1B gene|IL1B	ASSOCIATED_WITH	Acute coronary syndrome	1	2469	0.000405022276225
IL1B gene|IL1B	ASSOCIATED_WITH	Critical Illness	1	2505	0.000399201596806
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	2	5036	0.000397140587768
Interleukin-1 beta|IL1B	CAUSES	Glomerulonephritis	1	2548	0.000392464678179
IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	2	5144	0.000388802488336
IL1B gene|IL1B	PREDISPOSES	Periodontitis	1	2616	0.000382262996942
IL1B gene|IL1B	ASSOCIATED_WITH	Inflammatory disorder	2	5240	0.000381679389313
IL1B gene|IL1B	AUGMENTS	Respiration Disorders	1	2689	0.000371885459279
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Respiration Disorders	1	2689	0.000371885459279
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal Diseases	1	2692	0.00037147102526
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Bacteremia	1	2739	0.000365096750639
IL1B gene|IL1B	AFFECTS	Diabetic Nephropathy	1	2807	0.000356252226576
IL1B gene|IL1B	ASSOCIATED_WITH	Diabetic Nephropathy	1	2807	0.000356252226576
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Celiac Disease	1	2865	0.000349040139616
Interleukin-1 beta|IL1B	AUGMENTS	Cerebral Ischemia	1	3002	0.000333111259161
Interleukin-1 beta|IL1B	NEG_ASSOCIATED_WITH	Endometriosis, site unspecified	1	3218	0.000310752019888
Interleukin-1 beta|IL1B	AFFECTS	Endometriosis, site unspecified	1	3218	0.000310752019888
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic Scleroderma	1	3256	0.000307125307125
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	HIV Infections	2	6561	0.000304831580552
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Dental caries	1	3316	0.000301568154403
IL1B	AUGMENTS	Bacterial Infections	1	3330	0.0003003003003
Interleukin-1 beta|IL1B	COMPLICATES	Bacterial Infections	1	3330	0.0003003003003
IL1B	AFFECTS	Diabetic Retinopathy	1	3526	0.000283607487238
IL1B	NEG_AFFECTS	Diabetic Retinopathy	1	3526	0.000283607487238
IL1B	DISRUPTS	Diabetic Retinopathy	1	3526	0.000283607487238
IL1B gene|IL1B	AFFECTS	Colitis	1	3602	0.000277623542476
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Stomach Diseases	1	3887	0.000257267815796
IL1B	CAUSES	Crohn's disease	1	4047	0.000247096614776
IL1B gene|IL1B	ASSOCIATED_WITH	Alzheimer's Disease	2	8193	0.000244110826315
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Alzheimer's Disease	2	8193	0.000244110826315
IL1B gene|IL1B	ASSOCIATED_WITH	Cystic Fibrosis	1	4183	0.000239062873536
IL1B	ASSOCIATED_WITH	Ulcerative Colitis	1	4355	0.000229621125144
IL1B gene|IL1B	ASSOCIATED_WITH	Neurodegenerative Disorders	1	4400	0.000227272727273
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteoporosis	1	4418	0.000226346763241
Interleukin-1 beta|IL1B	CAUSES	Osteoporosis	1	4418	0.000226346763241
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	2	9184	0.000217770034843
IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	2	9184	0.000217770034843
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Atherosclerosis	2	9707	0.000206036880602
Interleukin-1 beta|IL1B	AFFECTS	Rheumatoid Arthritis	2	9872	0.000202593192869
Interleukin-1 beta|IL1B	CAUSES	Inflammatory Bowel Diseases	1	5009	0.000199640646836
Interleukin-1 beta|IL1B	AUGMENTS	Pre-Eclampsia	1	5036	0.000198570293884
IL1B gene|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	1	5036	0.000198570293884
Interleukin-1 beta|IL1B	AFFECTS	Degenerative polyarthritis	1	5144	0.000194401244168
IL1B gene|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	1	5144	0.000194401244168
Interleukin-1 beta|IL1B	CAUSES	Degenerative polyarthritis	1	5144	0.000194401244168
IL1B	CAUSES	Degenerative polyarthritis	1	5144	0.000194401244168
IL1B	DISRUPTS	Degenerative polyarthritis	1	5144	0.000194401244168
IL1B gene|IL1B	ASSOCIATED_WITH	Chronic Disease	1	5153	0.000194061711624
IL1B gene|IL1B	AFFECTS	Inflammatory disorder	1	5240	0.000190839694656
Interleukin-1 beta|IL1B	NEG_CAUSES	Inflammatory disorder	1	5240	0.000190839694656
IL1B gene|IL1B	PREDISPOSES	Inflammatory disorder	1	5240	0.000190839694656
Interleukin-1 beta|IL1B	PREDISPOSES	Inflammatory disorder	1	5240	0.000190839694656
IL1B	ASSOCIATED_WITH	Inflammatory disorder	1	5240	0.000190839694656
Interleukin-1 beta|IL1B	CAUSES	Hyperglycemia	1	5255	0.000190294957184
IL1B gene|IL1B	ASSOCIATED_WITH	Autoimmune Diseases	1	5351	0.00018688095683
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Autoimmune Diseases	1	5351	0.00018688095683
IL1B gene|IL1B	PREDISPOSES	Chronic Obstructive Airway Disease	1	5457	0.000183250870442
IL1B	ASSOCIATED_WITH	Chronic Obstructive Airway Disease	1	5457	0.000183250870442
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Asthma	2	11415	0.000175208059571
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tuberculosis	1	5750	0.000173913043478
IL1B gene|IL1B	PREDISPOSES	Tuberculosis	1	5750	0.000173913043478
Interleukin-1 beta|IL1B	NEG_ASSOCIATED_WITH	Tuberculosis	1	5750	0.000173913043478
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis	1	5923	0.000168833361472
IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Insulin-Dependent	1	6025	0.000165975103734
IL1B	ASSOCIATED_WITH	Myocardial Ischemia	1	6125	0.000163265306122
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Pancreatitis	1	6396	0.000156347717323
Interleukin-1 beta|IL1B	AUGMENTS	Pancreatitis	1	6396	0.000156347717323
IL1B gene|IL1B	PREDISPOSES	Coronary Arteriosclerosis	1	6617	0.000151125887865
IL1B gene|IL1B	AFFECTS	Coronary Arteriosclerosis	1	6617	0.000151125887865
Interleukin-1 beta|IL1B	CAUSES	Diabetes Mellitus	1	7030	0.000142247510669
Interleukin-1 beta|IL1B	AUGMENTS	Acquired Immunodeficiency Syndrome	1	7204	0.000138811771238
Interleukin-1 beta|IL1B	AFFECTS	Virus Diseases	1	7592	0.000131717597471
Interleukin-1 beta|IL1B	CAUSES	Virus Diseases	1	7592	0.000131717597471
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Septicemia	1	7818	0.000127909951394
IL1B gene|IL1B	PREDISPOSES	Alzheimer's Disease	1	8193	0.000122055413158
Interleukin-1 beta|IL1B	PREDISPOSES	Alzheimer's Disease	1	8193	0.000122055413158
IL1B	AUGMENTS	Cardiovascular Diseases	1	8281	0.000120758362517
IL1B gene|IL1B	ASSOCIATED_WITH	Cardiovascular Diseases	1	8281	0.000120758362517
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Cardiovascular Diseases	1	8281	0.000120758362517
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Heart failure	1	8346	0.000119817876827
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Ischemia	1	8775	0.00011396011396
Interleukin-1 beta|IL1B	AFFECTS	Diabetes Mellitus, Non-Insulin-Dependent	1	9184	0.000108885017422
IL1B gene|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	1	9184	0.000108885017422
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Communicable Diseases	3	29099	0.000103096326334
IL1B	AUGMENTS	Rheumatoid Arthritis	1	9872	0.000101296596434
Interleukin-1 beta|IL1B	CAUSES	Rheumatoid Arthritis	1	9872	0.000101296596434
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Syndrome	2	22087	9.05510028524e-05
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disease	6	67526	8.88546633889e-05
IL1B	ASSOCIATED_WITH	Infection	1	13571	7.36865374696e-05
Interleukin-1 beta|IL1B	CAUSES	Diabetes	1	13776	7.25900116144e-05
Interleukin-1 beta|IL1B	AFFECTS	Diabetes	1	13776	7.25900116144e-05
Interleukin-1 beta|IL1B	NEG_DISRUPTS	Diabetes	1	13776	7.25900116144e-05
IL1B	AUGMENTS	Obesity	1	14197	7.04374163556e-05
IL1B gene|IL1B	ASSOCIATED_WITH	Disease	3	67526	4.44273316945e-05
Interleukin-1 beta|IL1B	CAUSES	Communicable Diseases	1	29099	3.43654421114e-05
IL1B	AUGMENTS	Communicable Diseases	1	29099	3.43654421114e-05
Interleukin-1 beta|IL1B	AFFECTS	Disease	2	67526	2.96182211296e-05
IL1B gene|IL1B	AUGMENTS	Disease	1	67526	1.48091105648e-05
Interleukin-1 beta|IL1B	AUGMENTS	Disease	1	67526	1.48091105648e-05
IL1B gene|IL1B	AFFECTS	Disease	1	67526	1.48091105648e-05
IL1B	AFFECTS	Disease	1	67526	1.48091105648e-05
Interleukin-1 beta|IL1B	CAUSES	Disease	1	67526	1.48091105648e-05
Interleukin-1 beta|IL1B	PREDISPOSES	Disease	1	67526	1.48091105648e-05
